make,model,price,year,kilometers,kilowatts,engine_type,created_at
renault,clio,330.00,2002,120,55,petrol,2020-05-29
renault,clio,330.00,1999,245000,43,petrol,2020-05-18
renault,clio,330.00,1999,150000,43,petrol,2020-05-28
renault,clio,330.00,2001,230000,43,petrol,2020-05-19
renault,clio,330.00,1999,270000,66,petrol,2020-09-15
renault,clio,330.00,2003,205000,60,diesel,2020-09-21
renault,clio,330.00,1999,178000,43,petrol,2020-05-13
renault,clio,330.00,2002,242000,43,petrol,2020-08-15
renault,clio,330.00,2002,240000,43,petrol,2020-08-19
renault,clio,333.00,2002,160000,55,petrol,2020-05-16
renault,clio,340.00,2002,242000,43,petrol,2020-08-13
renault,clio,340.00,2001,136000,43,petrol,2020-07-12
renault,clio,349.00,2002,298470,55,petrol,2020-07-24
renault,clio,350.00,2001,195779,43,petrol,2020-09-26
renault,clio,350.00,1999,180000,43,petrol,2020-08-25
renault,clio,350.00,2001,198128,72,petrol,2020-04-28
renault,clio,350.00,2005,216555,48,diesel,2020-05-07
renault,clio,350.00,2000,203769,43,petrol,2020-09-16
renault,clio,350.00,1997,100000,43,petrol,2020-07-11
renault,clio,350.00,2002,190000,72,petrol,2020-09-10
renault,clio,350.00,2004,299000,60,diesel,2020-06-07
renault,clio,350.00,2001,186000,55,petrol,2020-06-14
renault,clio,350.00,2000,270000,43,petrol,2020-05-27
renault,clio,350.00,2000,200000,43,petrol,2020-06-22
renault,clio,350.00,1999,139626,43,petrol,2020-08-22
renault,clio,350.00,2000,183000,43,petrol,2020-07-16
renault,clio,350.00,2001,260000,55,petrol,2020-06-28
renault,clio,350.00,1995,217000,43,petrol,2020-08-30
renault,clio,350.00,2004,300000,43,petrol,2020-09-28
renault,clio,350.00,1999,210,55,petrol,2020-09-03
renault,clio,350.00,1999,220000,43,petrol,2020-04-14
renault,clio,350.00,2006,206958,55,petrol,2020-05-24
renault,clio,350.00,2001,260000,43,petrol,2020-05-06
renault,clio,350.00,2003,221000,72,petrol,2020-06-17
renault,clio,350.00,2000,166271,43,petrol,2020-08-13
renault,clio,350.00,1999,153000,43,petrol,2020-09-06
renault,clio,350.00,2002,260000,72,petrol,2020-09-28
renault,clio,350.00,2000,200000,43,petrol,2020-07-29
renault,clio,350.00,2001,201507,55,petrol,2020-05-17
renault,clio,350.00,1998,198000,43,petrol,2020-09-19
renault,clio,350.00,1999,139600,43,petrol,2020-08-10
renault,clio,350.00,2003,160000,55,petrol,2020-09-19
renault,clio,350.00,2003,205000,60,diesel,2020-08-29
renault,clio,350.00,2000,169500,43,petrol,2020-09-20
